,celltypes_fine,celltypes_coarse
7-0,Schwann cells,Schwann cells
31-0,myCAF_POSTN,Fibroblasts
51-0,Classical_KRT7,Classical PDAC
53-0,Classical_KRT7,Classical PDAC
54-0,myCAF_POSTN,Fibroblasts
55-0,Classical_CEACAM,Classical PDAC
56-0,Acinar cells,Acinar cells
62-0,T cells,Lymphocytes
78-0,Schwann cells,Schwann cells
82-0,Beta cells,Endocrine cells
87-0,Basal,Basal-like PDAC
90-0,Classical_TFF1,Classical PDAC
98-0,Classical_KRT7,Classical PDAC
107-0,Endothelial cells,Endothelial cells
109-0,Schwann cells,Schwann cells
132-0,B cells,Lymphocytes
135-0,Beta cells,Endocrine cells
153-0,Classical_KRT7,Classical PDAC
155-0,Ductal cells,Ductal cells
163-0,Macrophages_M2,Macrophages
173-0,Ductal cells,Ductal cells
175-0,Beta cells,Endocrine cells
187-0,Classical_TFF1,Classical PDAC
213-0,Classical_CEACAM,Classical PDAC
230-0,Acinar cells,Acinar cells
239-0,Beta cells,Endocrine cells
253-0,Basal,Basal-like PDAC
261-0,myCAF_POSTN,Fibroblasts
284-0,Acinar cells,Acinar cells
318-0,Alpha cells,Endocrine cells
324-0,Endothelial cells,Endothelial cells
327-0,Ductal cells,Ductal cells
329-0,Beta cells,Endocrine cells
332-0,NK cells,Lymphocytes
345-0,Alpha cells,Endocrine cells
364-0,Schwann cells,Schwann cells
367-0,myCAF_POSTN,Fibroblasts
371-0,Classical_TFF1,Classical PDAC
376-0,Alpha cells,Endocrine cells
387-0,myCAF_POSTN,Fibroblasts
393-0,Beta cells,Endocrine cells
407-0,Delta cells,Endocrine cells
462-0,Delta cells,Endocrine cells
477-0,Classical_TFF1,Classical PDAC
479-0,Classical_KRT7,Classical PDAC
482-0,Acinar cells,Acinar cells
499-0,Endothelial cells,Endothelial cells
502-0,Ductal cells,Ductal cells
506-0,Ductal cells,Ductal cells
515-0,T cells,Lymphocytes
527-0,Classical_CEACAM,Classical PDAC
534-0,T cells,Lymphocytes
549-0,Acinar cells,Acinar cells
555-0,Classical_CEACAM,Classical PDAC
573-0,Schwann cells,Schwann cells
576-0,Classical_CEACAM,Classical PDAC
578-0,NK cells,Lymphocytes
582-0,Acinar cells,Acinar cells
583-0,Schwann cells,Schwann cells
588-0,B cells,Lymphocytes
601-0,Classical_CEACAM,Classical PDAC
625-0,Endothelial cells,Endothelial cells
632-0,Ductal cells,Ductal cells
633-0,Schwann cells,Schwann cells
634-0,Ductal cells,Ductal cells
636-0,Beta cells,Endocrine cells
647-0,myCAF_ACTA2,Fibroblasts
658-0,Ductal cells,Ductal cells
660-0,T cells,Lymphocytes
678-0,Classical_TFF1,Classical PDAC
680-0,Endothelial cells,Endothelial cells
690-0,Ductal cells,Ductal cells
693-0,Macrophages_M2,Macrophages
705-0,myCAF_ACTA2,Fibroblasts
706-0,T cells,Lymphocytes
712-0,Beta cells,Endocrine cells
719-0,Ductal cells,Ductal cells
733-0,Alpha cells,Endocrine cells
738-0,Endothelial cells,Endothelial cells
741-0,Beta cells,Endocrine cells
743-0,myCAF_POSTN,Fibroblasts
761-0,Classical_KRT7,Classical PDAC
762-0,Endothelial cells,Endothelial cells
775-0,Ductal cells,Ductal cells
779-0,Beta cells,Endocrine cells
780-0,Ductal cells,Ductal cells
787-0,Acinar cells,Acinar cells
789-0,Ductal cells,Ductal cells
819-0,Acinar cells,Acinar cells
833-0,Endothelial cells,Endothelial cells
839-0,Classical_TFF1,Classical PDAC
854-0,Ductal cells,Ductal cells
862-0,Dendritic cells,Dendritic cells
871-0,Beta cells,Endocrine cells
875-0,NK cells,Lymphocytes
884-0,Acinar cells,Acinar cells
889-0,Ductal cells,Ductal cells
897-0,Acinar cells,Acinar cells
903-0,Acinar cells,Acinar cells
924-0,Classical_CEACAM,Classical PDAC
934-0,Acinar cells,Acinar cells
961-0,iCAF,Fibroblasts
977-0,Ductal cells,Ductal cells
1006-0,B cells,Lymphocytes
1033-0,Acinar cells,Acinar cells
1045-0,Ductal cells,Ductal cells
1062-0,Ductal cells,Ductal cells
1069-0,T cells,Lymphocytes
1073-0,Classical_REG4,Classical PDAC
1081-0,Ductal cells,Ductal cells
1084-0,Schwann cells,Schwann cells
1090-0,Ductal cells,Ductal cells
1095-0,Ductal cells,Ductal cells
